 1.814; 7.616;22.326;39.298
 3.564;15.777;28.637;41.822
 5.195;20.393;42.560;57.652
 6.801;25.445;45.445;48.101
 7.946;29.181;34.801;25.889
 9.201;26.192;33.954;-1.386
11.279;28.081;15.549;-29.565
11.534;26.136; 0.928;-53.576
12.855;21.900;-14.380;-54.556
13.637;16.746;-27.525;-43.511
13.757; 8.642;-37.892;-34.786
14.283; 2.140;-40.783;-5.486
13.992;-4.521;-43.247;24.714
14.458;-11.456;-35.131;44.382
14.058;-19.471;-24.428;64.713
12.410;-24.829;-7.248;57.270
11.371;-23.720;10.139;30.758
10.881;-28.194;22.284;14.856
 9.362;-29.040;38.161;-17.207
 8.646;-28.855;41.996;-44.810
 6.886;-24.556;41.995;-62.227
 5.008;-16.929;34.904;-46.391
 3.525;-13.362;25.245;-39.654
 1.795;-5.270;13.099;-19.519
-0.000; 1.518;-4.159; 8.595
-1.775; 7.767;-18.605;31.260
-3.382;14.835;-28.526;49.716
-5.043;22.000;-36.291;58.025
-6.976;25.812;-42.407;52.684
-8.245;26.785;-41.846;27.340
-10.149;30.623;-34.110;-1.269
-11.069;24.840;-18.545;-34.023
-12.212;24.242;-1.118;-43.814
-12.438;22.764;16.650;-56.813
-13.110;15.409;25.322;-60.070
-13.684; 8.443;41.757;-33.225
-14.016; 2.125;39.566;-4.926
-14.581;-4.622;43.306;24.897
-13.575;-11.673;28.738;39.181
-13.771;-17.762;20.851;54.204
-12.819;-21.094; 6.760;57.580
-11.380;-27.293;-8.196;41.740
-10.526;-27.485;-22.378;12.509
-9.217;-25.624;-34.988;-16.211
-8.207;-27.459;-42.078;-46.433
-7.067;-22.617;-39.715;-63.912
-5.398;-19.457;-35.794;-46.104
-3.437;-13.384;-28.476;-36.605
-1.766;-5.770;-12.913;-21.072
 0.000; 1.358; 3.622; 9.155
 1.775; 9.086;17.820;29.404
 3.430;13.778;31.472;52.441
 5.403;19.508;38.549;55.447
 6.591;24.956;38.398;40.693
 8.675;27.379;42.806;26.545
 9.495;26.207;29.318;-1.409
10.575;25.596;18.732;-26.902
12.180;26.857; 0.981;-41.624
12.561;20.378;-16.522;-55.716
13.289;15.466;-31.886;-41.947
13.956; 9.237;-42.238;-26.564
14.169; 2.282;-46.616;-4.736
14.530;-4.837;-38.106;21.649
